Overriding config with config/train_shakespeare_char.py:
tokens per iteration will be: 16,384
effective global batch size (sequences) will be: 64
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
iter 3420: loss 0.9642, time 14.29ms, mfu 25.21%
iter 3430: loss 0.9422, time 14.23ms, mfu 25.30%
iter 3440: loss 0.9860, time 14.41ms, mfu 25.36%
iter 3450: loss 0.9636, time 14.33ms, mfu 25.42%
iter 3460: loss 0.9549, time 14.46ms, mfu 25.46%
iter 3470: loss 0.9454, time 14.46ms, mfu 25.49%
iter 3480: loss 0.9575, time 14.23ms, mfu 25.56%
iter 3490: loss 0.9279, time 14.68ms, mfu 25.54%
step 3500: train loss 0.7873, val loss 1.5700
iter 3500: loss 0.9083, time 2594.60ms, mfu 23.00%
iter 3510: loss 0.9217, time 14.35ms, mfu 23.30%
iter 3520: loss 0.9299, time 14.63ms, mfu 23.51%
iter 3530: loss 0.9566, time 14.55ms, mfu 23.72%
iter 3540: loss 0.9342, time 14.52ms, mfu 23.92%
iter 3550: loss 0.9330, time 14.31ms, mfu 24.13%
iter 3560: loss 0.9595, time 14.53ms, mfu 24.28%
iter 3570: loss 0.9409, time 14.38ms, mfu 24.45%
iter 3580: loss 0.9452, time 14.64ms, mfu 24.55%
iter 3590: loss 0.9270, time 14.43ms, mfu 24.67%
iter 3600: loss 0.9325, time 14.38ms, mfu 24.80%
iter 3610: loss 0.9188, time 14.43ms, mfu 24.90%
iter 3620: loss 0.9191, time 14.51ms, mfu 24.98%
iter 3630: loss 0.9318, time 14.48ms, mfu 25.05%
iter 3640: loss 0.9185, time 14.32ms, mfu 25.15%
iter 3650: loss 0.9152, time 14.44ms, mfu 25.21%
iter 3660: loss 0.9518, time 14.55ms, mfu 25.25%
iter 3670: loss 0.9445, time 14.40ms, mfu 25.32%
iter 3680: loss 0.9093, time 14.41ms, mfu 25.37%
iter 3690: loss 0.9440, time 14.23ms, mfu 25.45%
iter 3700: loss 0.8836, time 13.89ms, mfu 25.59%
iter 3710: loss 0.8875, time 14.14ms, mfu 25.66%
iter 3720: loss 0.9176, time 14.06ms, mfu 25.75%
iter 3730: loss 0.9091, time 14.18ms, mfu 25.80%
iter 3740: loss 0.9067, time 14.32ms, mfu 25.82%
step 3750: train loss 0.7509, val loss 1.5937
iter 3750: loss 0.8996, time 2581.61ms, mfu 23.25%
iter 3760: loss 0.9355, time 14.43ms, mfu 23.51%
iter 3770: loss 0.9404, time 14.57ms, mfu 23.72%
iter 3780: loss 0.9230, time 14.27ms, mfu 23.96%
iter 3790: loss 0.8987, time 14.60ms, mfu 24.11%
iter 3800: loss 0.9212, time 14.50ms, mfu 24.27%
iter 3810: loss 0.9212, time 14.84ms, mfu 24.36%
iter 3820: loss 0.8863, time 14.44ms, mfu 24.50%
iter 3830: loss 0.9080, time 14.64ms, mfu 24.60%
iter 3840: loss 0.9014, time 14.57ms, mfu 24.69%
iter 3850: loss 0.8957, time 14.14ms, mfu 24.86%
iter 3860: loss 0.8774, time 14.42ms, mfu 24.96%
iter 3870: loss 0.8987, time 14.53ms, mfu 25.03%
iter 3880: loss 0.8940, time 14.63ms, mfu 25.07%
iter 3890: loss 0.9065, time 14.54ms, mfu 25.13%
iter 3900: loss 0.8986, time 14.41ms, mfu 25.20%
iter 3910: loss 0.9005, time 14.58ms, mfu 25.23%
iter 3920: loss 0.8798, time 14.45ms, mfu 25.29%
iter 3930: loss 0.9021, time 14.38ms, mfu 25.35%
iter 3940: loss 0.8863, time 14.59ms, mfu 25.37%
iter 3950: loss 0.8870, time 14.53ms, mfu 25.40%
iter 3960: loss 0.9221, time 14.52ms, mfu 25.43%
iter 3970: loss 0.9039, time 14.60ms, mfu 25.43%
iter 3980: loss 0.9062, time 14.11ms, mfu 25.53%
iter 3990: loss 0.8865, time 14.31ms, mfu 25.58%
step 4000: train loss 0.7162, val loss 1.6193
iter 4000: loss 0.8655, time 2586.59ms, mfu 23.04%
iter 4010: loss 0.8844, time 14.65ms, mfu 23.28%
iter 4020: loss 0.8958, time 14.78ms, mfu 23.47%
iter 4030: loss 0.8803, time 14.55ms, mfu 23.68%
iter 4040: loss 0.8821, time 14.48ms, mfu 23.89%
iter 4050: loss 0.8759, time 14.42ms, mfu 24.08%
iter 4060: loss 0.8727, time 14.45ms, mfu 24.26%
iter 4070: loss 0.8732, time 14.72ms, mfu 24.36%
iter 4080: loss 0.8963, time 14.72ms, mfu 24.46%
iter 4090: loss 0.8644, time 14.46ms, mfu 24.59%
iter 4100: loss 0.9028, time 14.45ms, mfu 24.71%
iter 4110: loss 0.8807, time 14.19ms, mfu 24.86%
iter 4120: loss 0.8757, time 14.44ms, mfu 24.96%
iter 4130: loss 0.8669, time 14.53ms, mfu 25.02%
iter 4140: loss 0.8857, time 14.53ms, mfu 25.09%
